Кластер;Подкластер;Ключевой запрос;Wordstat оператор;Частотность (TBD);Приоритет;Аудитория;Комментарий
5. Оплата поставщику — по странам;Германия;оплата поставщику в германию;"оплата поставщику в германию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;США;оплата поставщику в сша;"оплата поставщику в сша";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Великобритания;оплата поставщику в великобританию;"оплата поставщику в великобританию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Италия;оплата поставщику в италию;"оплата поставщику в италию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Франция;оплата поставщику во францию;"оплата поставщику во францию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Польша;оплата поставщику в польшу;"оплата поставщику в польшу";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Испания;оплата поставщику в испанию;"оплата поставщику в испанию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Швейцария;оплата поставщику в швейцарию;"оплата поставщику в швейцарию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Австрия;оплата поставщику в австрию;"оплата поставщику в австрию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Таиланд;оплата поставщику в таиланд;"оплата поставщику в таиланд";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Индонезия;оплата поставщику в индонезию;"оплата поставщику в индонезию";TBD;🟡 Средний;B2B;
5. Оплата поставщику — по странам;Общие;оплата иностранному поставщику юридическое лицо;"оплата иностранному поставщику юридическое лицо";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;международный перевод для юридических лиц;"международный перевод для юридических лиц";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;перевод денег за рубеж для бизнеса;"перевод денег за рубеж для бизнеса";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;перевод юридическому лицу за рубеж;"перевод юридическому лицу за рубеж";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;международные расчеты для малого бизнеса;"международные расчеты для малого бизнеса";TBD;🔴 Высокий;B2B;МСБ — крупный сегмент
6. Международные переводы для бизнеса;Общие;международный банковский перевод юридическое лицо;"международный банковский перевод юридическое лицо";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;перевод в иностранную компанию;"перевод в иностранную компанию";TBD;🔴 Высокий;B2B;
6. Международные переводы для бизнеса;Общие;отправить деньги за рубеж юрлицо;"отправить деньги за рубеж юрлицо";TBD;🟡 Средний;B2B;
6. Международные переводы для бизнеса;Общие;оплата иностранной компании в рублях;"оплата иностранной компании в рублях";TBD;🟡 Средний;B2B;Важный запрос — конвертация
6. Международные переводы для бизнеса;Общие;международный перевод без swift;"международный перевод без swift";TBD;🔴 Высокий;B2B;Актуально в 2025
6. Международные переводы для бизнеса;Общие;перевод за рубеж в обход санкций легально;"перевод за рубеж в обход санкций легально";TBD;🔴 Высокий;B2B;Острая боль рынка
7. SWIFT и валютные платежи;Общие;swift перевод юридическое лицо;"swift перевод юридическое лицо";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;Общие;swift платеж за рубеж;"swift платеж за рубеж";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;Общие;валютный перевод за рубеж юрлицо;"валютный перевод за рубеж юрлицо";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;Общие;валютный платеж иностранному контрагенту;"валютный платеж иностранному контрагенту";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;Общие;оплата в валюте иностранной компании;"оплата в валюте иностранной компании";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;Общие;альтернатива swift платежи для бизнеса;"альтернатива swift платежи для бизнеса";TBD;🔴 Высокий;B2B;Ключевой запрос 2025
7. SWIFT и валютные платежи;По странам;swift перевод в китай;"swift перевод в китай";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;По странам;swift перевод в турцию;"swift перевод в турцию";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;По странам;swift перевод в оаэ;"swift перевод в оаэ";TBD;🔴 Высокий;B2B;
7. SWIFT и валютные платежи;По странам;swift перевод в германию;"swift перевод в германию";TBD;🟡 Средний;B2B;
7. SWIFT и валютные платежи;По странам;swift перевод в великобританию;"swift перевод в великобританию";TBD;🟡 Средний;B2B;
8. Оплата за конкретные товары;Авто;оплата за автомобиль в южную корею;"оплата за автомобиль в южную корею";TBD;🔴 Высокий;B2B/B2C;Авто из Кореи — хайп
8. Оплата за конкретные товары;Авто;оплата за авто в китай;"оплата за авто в китай";TBD;🔴 Высокий;B2B/B2C;
8. Оплата за конкретные товары;Авто;оплата за автомобиль в китай юридическое лицо;"оплата за автомобиль в китай юридическое лицо";TBD;🔴 Высокий;B2B;
8. Оплата за конкретные товары;Авто;оплата за автомобиль в японию;"оплата за автомобиль в японию";TBD;🔴 Высокий;B2B/B2C;
8. Оплата за конкретные товары;Авто;оплата за автомобиль в германию;"оплата за автомобиль в германию";TBD;🟡 Средний;B2B/B2C;
8. Оплата за конкретные товары;Авто;купить автомобиль в японии оплата;"купить автомобиль в японии оплата";TBD;🟡 Средний;B2B/B2C;
8. Оплата за конкретные товары;Оборудование;оплата за оборудование за рубежом;"оплата за оборудование за рубежом";TBD;🔴 Высокий;B2B;
8. Оплата за конкретные товары;Оборудование;оплата за промышленное оборудование из китая;"оплата за промышленное оборудование из китая";TBD;🔴 Высокий;B2B;
8. Оплата за конкретные товары;Оборудование;оплата за станки из китая;"оплата за станки из китая";TBD;🟡 Средний;B2B;
8. Оплата за конкретные товары;Товары;оплата за товар в китай юридическое лицо;"оплата за товар в китай юридическое лицо";TBD;🔴 Высокий;B2B;
8. Оплата за конкретные товары;Товары;оплата за товар из китая;"оплата за товар из китая";TBD;🔴 Высокий;B2B;
8. Оплата за конкретные товары;Товары;оплата импортного товара;"оплата импортного товара";TBD;🟡 Средний;B2B;
8. Оплата за конкретные товары;Товары;оплата за электронику из китая;"оплата за электронику из китая";TBD;🟡 Средний;B2B;
8. Оплата за конкретные товары;Товары;оплата за запчасти в китай;"оплата за запчасти в китай";TBD;🟡 Средний;B2B;
8. Оплата за конкретные товары;Товары;оплата за сырье иностранному поставщику;"оплата за сырье иностранному поставщику";TBD;🟡 Средний;B2B;
9. Проблемы и барьеры;Как сделать;как оплатить инвойс иностранной компании;"как оплатить инвойс иностранной компании";TBD;🔴 Высокий;B2B;Информационный → конверсия
9. Проблемы и барьеры;Как сделать;как перевести деньги за рубеж юридическому лицу;"как перевести деньги за рубеж юридическому лицу";TBD;🔴 Высокий;B2B;
9. Проблемы и барьеры;Как сделать;как оплатить счет в иностранной валюте;"как оплатить счет в иностранной валюте";TBD;🔴 Высокий;B2B;
9. Проблемы и барьеры;Как сделать;как оплатить китайскому поставщику;"как оплатить китайскому поставщику";TBD;🔴 Высокий;B2B;
9. Проблемы и барьеры;Как сделать;как оплатить турецкому поставщику;"как оплатить турецкому поставщику";TBD;🔴 Высокий;B2B;
9. Проблемы и барьеры;Проблемы;не проходит платеж за рубеж;"не проходит платеж за рубеж";TBD;🟡 Средний;B2B;Горячий лид — уже страдает
9. Проблемы и барьеры;Проблемы;санкции платежи за рубеж бизнес;"санкции платежи за рубеж бизнес";TBD;🟡 Средний;B2B;
9. Проблемы и барьеры;Проблемы;проблемы с оплатой иностранному поставщику;"проблемы с оплатой иностранному поставщику";TBD;🟡 Средний;B2B;Горячий лид
9. Проблемы и барьеры;Проблемы;банк не проводит платеж за рубеж;"банк не проводит платеж за рубеж";TBD;🔴 Высокий;B2B;Горячий лид — заблокирован банком
9. Проблемы и барьеры;Проблемы;заблокировали международный платеж;"заблокировали международный платеж";TBD;🔴 Высокий;B2B;Горячий лид
9. Проблемы и барьеры;Проблемы;swift отключили как платить;"swift отключили как платить";TBD;🔴 Высокий;B2B;Острая боль
10. Тарифы и условия;Общие;комиссия за международный перевод юридическое лицо;"комиссия за международный перевод юридическое лицо";TBD;🟡 Средний;B2B;
10. Тарифы и условия;Общие;стоимость международного платежа;"стоимость международного платежа";TBD;🟡 Средний;B2B;
10. Тарифы и условия;Общие;тарифы платежного агента вэд;"тарифы платежного агента вэд";TBD;🟡 Средний;B2B;
10. Тарифы и условия;Общие;условия международных расчетов для юридических лиц;"условия международных расчетов для юридических лиц";TBD;🟡 Средний;B2B;
10. Тарифы и условия;Общие;стоимость swift перевода для бизнеса;"стоимость swift перевода для бизнеса";TBD;🟡 Средний;B2B;
10. Тарифы и условия;Общие;комиссия платежного агента вэд сравнение;"комиссия платежного агента вэд сравнение";TBD;🟡 Средний;B2B;Покупатели сравнивают
11. Брендовые — конкуренты;A7;a7 платежи;"a7 платежи";TBD;🔴 Конкурент;B2B;Перехват трафика конкурента
11. Брендовые — конкуренты;A7;a7 платежи вэд;"a7 платежи вэд";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;A7;а7 платежи альтернатива;"а7 платежи альтернатива";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;VedHonest;vedhonest;"vedhonest";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;VedHonest;vedhonest отзывы;"vedhonest отзывы";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;VedHonest;vedhonest вэд платежи;"vedhonest вэд платежи";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;Exnode;exnode платежный агент;"exnode платежный агент";TBD;🔴 Конкурент;B2B;Агрегатор конкурентов
11. Брендовые — конкуренты;Exnode;exnode вэд;"exnode вэд";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;Win Win Swift;win win swift;"win win swift";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;Win Win Swift;winwinswift отзывы;"winwinswift отзывы";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;RSI Capital;rsi capital платежи;"rsi capital платежи";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;RSI Capital;rsi capital вэд;"rsi capital вэд";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;NNEX;nnex платежный агент;"nnex платежный агент";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;NNEX;nnex международные платежи;"nnex международные платежи";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;Insight;insight платежи вэд;"insight платежи вэд";TBD;🔴 Конкурент;B2B;
11. Брендовые — конкуренты;Общие;сервис для платежей за рубеж вместо банка;"сервис для платежей за рубеж вместо банка";TBD;🔴 Высокий;B2B;Перехват банковского трафика
11. Брендовые — конкуренты;Общие;аналог swift для российского бизнеса;"аналог swift для российского бизнеса";TBD;🔴 Высокий;B2B;
12. Физлица (вторичный приоритет);Общие;перевод денег за рубеж физическое лицо;"перевод денег за рубеж физическое лицо";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;как перевести деньги в китай;"как перевести деньги в китай";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;перевод в турцию физическое лицо;"перевод в турцию физическое лицо";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;перевести деньги в оаэ;"перевести деньги в оаэ";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;перевод за рубеж из России;"перевод за рубеж из России";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;перевод в таиланд из России;"перевод в таиланд из России";TBD;⚪ Низкий;B2C;
12. Физлица (вторичный приоритет);Общие;перевод на мальдивы из России;"перевод на мальдивы из России";TBD;⚪ Низкий;B2C;
